date_onset,n
1899-12-30,1
2018-07-31,2
2018-08-04,1
2018-08-10,1
2018-08-12,2
2018-08-13,1
2018-08-14,1
2018-08-16,2
2018-08-17,1
2018-08-20,2
2018-08-23,1
2018-08-26,2
2018-08-27,1
2018-08-28,5
2018-08-29,1
2018-08-31,2
2018-09-01,1
2018-09-02,2
2018-09-05,1
2018-09-08,1
2018-09-10,1
2018-09-11,1
2018-09-12,1
2018-09-13,3
2018-09-15,2
2018-09-16,1
2018-09-18,1
2018-09-19,1
2018-09-20,4
2018-09-22,3
2018-09-23,1
2018-09-24,6
2018-09-25,4
2018-09-26,2
2018-09-27,1
2018-09-29,4
2018-09-30,5
2018-10-01,3
2018-10-02,1
2018-10-03,3
2018-10-04,5
2018-10-05,5
2018-10-06,1
2018-10-07,3
2018-10-08,1
2018-10-09,2
2018-10-10,5
2018-10-11,1
2018-10-12,4
2018-10-13,2
2018-10-14,4
2018-10-15,5
2018-10-16,5
2018-10-17,2
2018-10-18,4
2018-10-19,3
2018-10-20,5
2018-10-21,4
2018-10-22,3
2018-10-23,3
2018-10-24,1
2018-10-25,3
2018-10-26,3
2018-10-27,1
2018-10-28,3
2018-10-29,4
2018-10-30,2
2018-10-31,2
2018-11-01,2
2018-11-02,3
2018-11-03,4
2018-11-04,1
2018-11-05,1
2018-11-06,3
2018-11-08,4
2018-11-09,1
2018-11-10,3
2018-11-11,2
2018-11-13,5
2018-11-14,2
2018-11-15,4
2018-11-16,3
2018-11-17,1
2018-11-18,1
2018-11-19,1
2018-11-20,2
2018-11-21,2
2018-11-23,1
2018-11-24,2
2018-11-25,1
2018-11-26,4
2018-11-27,1
2018-11-28,1
2018-11-30,3
2018-12-01,3
2018-12-02,1
2018-12-03,1
2018-12-04,1
2018-12-06,2
2018-12-07,2
2018-12-10,1
2018-12-11,1
2018-12-12,5
2018-12-13,1
2018-12-17,2
2018-12-18,2
2018-12-19,1
2018-12-20,1
2018-12-22,2
2018-12-24,2
2018-12-25,2
2018-12-26,1
2018-12-27,1
2018-12-28,1
2018-12-31,1
2019-01-02,2
2019-01-06,2
2019-01-08,1
2019-01-11,1
2019-01-14,1
2019-01-16,1
2019-01-20,1
2019-01-21,1
2019-01-23,1
2019-01-24,4
2019-01-26,4
2019-01-27,2
2019-02-06,1
2019-02-10,1
2019-02-12,1
2019-02-13,1
2019-03-05,1
2019-03-07,1
2019-03-08,4
2019-03-12,1
2019-03-14,1
2019-03-17,1
2019-03-19,2
2019-03-21,4
2019-03-22,2
2019-03-24,2
2019-03-25,4
2019-03-26,3
2019-03-28,2
2019-03-29,2
2019-03-31,2
2019-04-01,3
2019-04-03,2
2019-04-04,1
2019-04-05,2
2019-04-06,1
2019-04-08,2
2019-04-12,1
2019-04-13,2
2019-04-14,2
2019-04-15,2
2019-04-16,1
2019-04-18,1
2019-04-19,1
2019-04-20,2
2019-04-21,2
2019-04-22,1
2019-04-23,1
2019-04-24,3
2019-04-27,1
2019-04-29,5
2019-04-30,5
2019-05-01,4
2019-05-02,3
2019-05-03,2
2019-05-04,1
2019-05-05,1
2019-05-08,4
2019-05-10,5
2019-05-11,6
2019-05-12,1
2019-05-13,1
2019-05-15,4
2019-05-16,2
2019-05-17,2
2019-05-18,2
2019-05-19,1
2019-05-20,3
2019-05-23,1
2019-05-24,3
2019-05-25,1
2019-05-26,2
2019-05-28,1
2019-05-29,2
2019-05-30,2
2019-06-01,1
2019-06-02,1
2019-06-04,3
2019-06-05,3
2019-06-06,3
2019-06-07,4
2019-06-08,5
2019-06-09,3
2019-06-10,6
2019-06-11,3
2019-06-12,1
2019-06-13,3
2019-06-15,5
2019-06-16,4
2019-06-17,4
2019-06-19,4
2019-06-20,4
2019-06-21,3
2019-06-22,5
2019-06-23,4
2019-06-24,6
2019-06-25,1
2019-06-26,12
2019-06-27,6
2019-06-28,2
2019-06-30,4
2019-07-01,7
2019-07-02,6
2019-07-03,1
2019-07-04,2
2019-07-05,3
2019-07-06,1
2019-07-07,5
2019-07-08,4
2019-07-09,2
2019-07-10,4
2019-07-12,3
2019-07-13,1
2019-07-14,1
2019-07-15,1
2019-07-17,1
2019-07-25,1
2019-07-26,1
2019-07-29,2
2019-07-31,2
2019-08-01,3
2019-08-02,3
2019-08-03,4
2019-08-06,1
2019-08-10,1
2019-08-24,1
2019-08-31,1
2019-09-01,1
2019-09-02,2
2019-09-03,1
2019-09-04,1
2019-09-06,1
2019-09-07,1
2019-09-10,1
2019-09-15,1
2019-09-18,1
2019-09-19,1
2019-09-23,1
2019-10-17,1
2019-11-07,1
2019-11-11,2
2019-11-21,1
2019-12-02,4
2019-12-03,1
2020-01-07,1
2020-01-08,1
2020-01-13,1
2020-01-14,1
2020-01-15,1
2020-01-21,1
2020-01-23,2
2020-01-26,1
2020-01-31,1
2020-04-26,1
NA,319
